date,category,rank,asin,title,price,rating,review_count
2026-08-24,Briefs,51,B0BDDMRF2T,Levi's 009 Neo Brief for Men | 100% Pure Cotton | Solid Men's Underwear | Breathable | Branded Outer Elastic Anti-Roll Waistband | Extra Supportive Gusset | Dual Layer 3D Pouch | Tagless | Pack of 3,₹441.00,3.9 out of 5 stars,312
2026-08-24,Briefs,52,B09MFMJNG3,Jockey 1011 Men's Super Combed Cotton Solid Brief with Stay Fresh Properties,₹229.00,4.2 out of 5 stars,"2,149"
2026-08-24,Briefs,53,B078ZX6Z26,Jockey 1017 Men Super Combed Cotton Solid Long Trunk Boxer Brief,₹599.00,4.2 out of 5 stars,"4,652"
2026-08-24,Briefs,54,B0B5F4T242,XYXX Men's Traq Super Combed Cotton Regular Fit Solid Antibacterial Briefs with No Marks Waistband (Pack of 2),₹399.00,4.2 out of 5 stars,684
2026-08-24,Briefs,55,B0D4R19LL5,"Van Heusen Men's Brief Pack of 1 | Air Series | Lightest Underwear | Mesh Fabric | Breathable Active Brief | Moisture-Wicking & Sweat Absorbent | No Ride-Up Fit | Gym, Sports & Activewear Underwear | Style 40047",₹535.00,4.3 out of 5 stars,240
2026-08-24,Briefs,56,B08Z74SVPZ,"Dixcy Scott Originals Replay Briefs | 100% Combed Cotton Brief for Men | Men's Underwear | Modern Mid-Waist Fit ​| Durable, Sweat-Absorbing Cotton-Lined Waistband | Innerwear for Man | Pack of 5",₹480.00,4.1 out of 5 stars,"2,590"
2026-08-24,Briefs,57,B0CBCK6ZQW,Frenchie VIP Plus Colour 100% Combed Cotton Brief Combo Set for Mens with Soft Concealed Waistband,₹298.00,4.1 out of 5 stars,528
2026-08-24,Briefs,58,B0D37XSJ1G,U.S. Polo ASSN. Mens OEB08 Pure Cotton Antibacterial Underwear Briefs - Pack of 2,₹521.00,4.3 out of 5 stars,186
2026-08-24,Briefs,59,B0CW6LGHFR,U.S. Polo ASSN. Mens OEB01 Abrasion Free Printed Underwear Briefs - Pack of 3,₹704.00,3.9 out of 5 stars,670
2026-08-24,Briefs,60,B0D37XLLWG,U.S. Polo ASSN. Mens OEB06 Flag Waist Single Jersey Underwear Briefs - Pack of 2,₹558.00,4.1 out of 5 stars,499
2026-08-24,Briefs,61,B0BFJX5F8C,"DAMENSCH Men's Regular Fit Solid Cotton Briefs for Men Pack of 3 | Combed Cotton, Stretchy Fabric, Anti-Bacterial and Microfibre Waistband",₹299.00,4.0 out of 5 stars,262
2026-08-24,Briefs,62,B08QN7W5LY,DAMENSCH Modal Regular Fit Solid Brief Underwear Anti-Bacterial Moisture Wicking Breathable Microfibre Waistband Deo-Soft Briefs for Men,₹319.00,4.2 out of 5 stars,679
2026-08-24,Briefs,63,B0GYSPVDS6,XYXX Solid Tactel Trunk for Men,₹499.00,4.3 out of 5 stars,249
2026-08-24,Briefs,64,B08RJ9T2ML,DAMENSCH Deo-Cotton Solid Underwear for Men Combo Breathable Inner Cotton Briefs Pack No-Marks Waistband Moisture Wicking,₹729.00,4.4 out of 5 stars,"1,401"
2026-08-24,Briefs,65,B09P77VXHJ,VIP Frenchie Plus Mens Cotton Brief (Pack of 6) Color May Vary,₹650.00,4.3 out of 5 stars,"1,105"
2026-08-24,Briefs,66,B077H3VWDG,U.S. Polo ASSN. Men's I006 Elasticized Waist Pure Cotton Underwear Briefs - Pack of 2,₹404.00,4.0 out of 5 stars,"1,976"
2026-08-24,Briefs,67,B07WZV7KX8,Levi's 011 Comfort Brief for Men | 100% Pure Cotton | Breathable | Durable | Anti-Roll Waistband | Extra Supportive Gusset | Dual Layer 3D Pouch | Tagless & Zero Irritation Comfort | Pack of 3,₹400.00,3.8 out of 5 stars,"4,914"
